IsoCode;AgeFactorId;AgeIndex
AFG;2;18.6
ALB;2;38.0
DZA;2;29.1
AGO;2;16.8
ATG;2;32.1
ARG;2;31.9
ARM;2;35.7
ABW;2;41.2
AUS;2;37.9
AUT;2;44.4
AZE;2;32.4
BHS;2;34.3
BHR;2;32.4
BGD;2;27.5
BRB;2;39.8
BLR;2;40.3
BEL;2;41.8
BLZ;2;25.0
BEN;2;18.8
BTN;2;28.6
BOL;2;25.4
BIH;2;42.5
BWA;2;25.8
BRA;2;33.5
BRN;2;32.4
BGR;2;44.7
BFA;2;17.6
BDI;2;17.5
KHM;2;25.6
CMR;2;18.8
CAN;2;41.4
CPV;2;25.7
CAF;2;18.3
TCD;2;16.7
CHL;2;35.4
CHN;2;38.7
COL;2;32.2
COM;2;20.4
COG;2;19.0
CRI;2;33.6
CIV;2;18.7
HRV;2;44.0
CUB;2;43.1
CUW;2;41.7
CYP;2;37.3
CZE;2;43.3
COD;2;17.0
DNK;2;42.3
DOM;2;27.6
ECU;2;28.1
EGY;2;25.3
SLV;2;27.6
GNQ;2;22.4
ERI;2;19.3
EST;2;42.7
ETH;2;19.8
FJI;2;28.6
FIN;2;42.8
FRA;2;42.0
PYF;2;32.7
GAB;2;23.1
GMB;2;17.5
GEO;2;38.7
DEU;2;46.6
GHA;2;21.1
GRC;2;45.3
GRD;2;29.4
GUM;2;31.4
GTM;2;22.9
GIN;2;19.0
GNB;2;19.4
GUY;2;26.3
HTI;2;24.3
HND;2;24.9
HKG;2;44.8
HUN;2;43.4
ISL;2;37.3
IND;2;28.2
IDN;2;29.3
IRN;2;32.4
IRQ;2;20.0
IRL;2;38.7
ISR;2;30.6
ITA;2;47.9
JAM;2;31.4
JPN;2;48.2
JOR;2;23.2
KAZ;2;30.6
KEN;2;20.0
KWT;2;33.7
KGZ;2;26.3
LAO;2;24.4
LVA;2;43.9
LBN;2;31.1
LSO;2;22.2
LBR;2;19.2
LBY;2;29.0
LTU;2;43.5
LUX;2;39.7
MKD;2;39.1
MDG;2;19.6
MWI;2;18.1
MYS;2;29.9
MDV;2;30.6
MLI;2;16.4
MLT;2;42.4
MRT;2;20.3
MUS;2;37.4
MEX;2;29.3
MDA;2;37.6
MNG;2;28.6
MNE;2;39.1
MAR;2;29.6
MOZ;2;17.7
MMR;2;29.1
NAM;2;22.0
NPL;2;25.0
NLD;2;43.2
NCL;2;33.4
NZL;2;37.9
NIC;2;27.3
NER;2;15.1
NGA;2;18.1
NOR;2;39.7
OMN;2;30.7
PAK;2;23.5
PSE;2;20.4
PAN;2;29.7
PNG;2;22.6
PRY;2;26.5
PER;2;29.1
PHL;2;25.2
POL;2;41.8
PRT;2;46.2
PRI;2;38.2
QAT;2;31.9
ROU;2;43.0
RUS;2;39.6
RWA;2;20.3
LCA;2;34.9
VCT;2;31.8
STP;2;18.7
SAU;2;31.9
SEN;2;18.7
SRB;2;41.2
SYC;2;36.2
