IsoCode;HealthCareFactorId;HealthcareFactorIndex
AFG;1;597.029
ALB;1;304.195
DZA;1;278.364
AND;1;109.135
AGO;1;276.045
ATG;1;191.511
ARG;1;191.032
ARM;1;341.01
AUS;1;107.791
AUT;1;145.183
AZE;1;559.812
BHS;1;235.954
BHR;1;151.689
BGD;1;298.003
BRB;1;170.05
BLR;1;443.129
BEL;1;114.898
BLZ;1;176.957
BEN;1;235.848
BMU;1;139.547
BTN;1;217.066
BOL;1;204.299
BIH;1;329.635
BWA;1;237.372
BRA;1;177.961
BRN;1;201.285
BGR;1;424.688
BFA;1;269.048
BDI;1;293.068
KHM;1;270.892
CMR;1;244.661
CAN;1;105.599
CPV;1;182.219
CAF;1;435.727
TCD;1;280.995
CHL;1;127.993
CHN;1;261.899
COL;1;124.24
COM;1;261.516
COG;1;344.094
CRI;1;137.973
CIV;1;303.74
HRV;1;253.782
CUB;1;190.968
CYP;1;141.171
CZE;1;227.485
COD;1;318.949
DNK;1;114.767
DMA;1;227.376
DOM;1;266.653
ECU;1;140.448
EGY;1;525.432
SLV;1;167.295
GNQ;1;202.812
ERI;1;311.11
EST;1;255.569
ETH;1;182.634
FJI;1;412.82
FIN;1;153.507
FRA;1;86.06
GAB;1;259.967
GMB;1;331.43
GEO;1;496.218
DEU;1;156.139
GHA;1;298.245
GRC;1;175.695
GRL;1;199.941
GRD;1;243.964
GUM;1;310.496
GTM;1;155.898
GIN;1;336.717
GNB;1;382.474
GUY;1;373.159
HTI;1;430.548
HND;1;240.208
HUN;1;278.296
ISL;1;117.992
IND;1;282.28
IDN;1;342.864
IRN;1;270.308
IRQ;1;218.612
IRL;1;126.459
ISR;1;93.32
ITA;1;113.151
JAM;1;206.537
JPN;1;79.37
JOR;1;208.257
KAZ;1;466.792
KEN;1;218.637
KWT;1;132.235
KGZ;1;436.362
LAO;1;368.111
LVA;1;350.06
LBN;1;266.591
LSO;1;405.126
LBR;1;272.509
LBY;1;341.862
LTU;1;342.989
LUX;1;128.275
MKD;1;322.688
MDG;1;405.994
MWI;1;227.349
MYS;1;260.942
MDV;1;164.905
MLI;1;268.024
MLT;1;168.711
MRT;1;232.347
MUS;1;224.644
MEX;1;152.783
MDA;1;408.502
MNG;1;460.043
MNE;1;387.305
MAR;1;419.146
MOZ;1;329.942
MMR;1;202.104
NAM;1;243.811
NPL;1;260.797
NLD;1;109.361
NZL;1;128.797
NIC;1;137.016
NER;1;238.339
NGA;1;181.013
MNP;1;194.994
NOR;1;114.316
OMN;1;266.342
PAK;1;423.031
PSE;1;265.91
PAN;1;128.346
PNG;1;561.494
PRY;1;199.128
PER;1;85.755
PHL;1;370.437
POL;1;227.331
PRT;1;127.842
PRI;1;108.094
QAT;1;176.69
ROU;1;370.946
RUS;1;431.297
RWA;1;191.375
LCA;1;204.62
VCT;1;252.675
STP;1;270.113
SAU;1;259.538
SEN;1;241.219
SRB;1;439.415
SYC;1;242.648
SLE;1;325.721
SGP;1;92.243
SVK;1;287.959
SVN;1;153.493
SOM;1;365.769
ZAF;1;200.38
KOR;1;85.998
SSD;1;280.775
ESP;1;99.403
LKA;1;197.093
SDN;1;431.388
SUR;1;258.314
SWZ;1;333.436
SWE;1;133.982
CHE;1;99.739
SYR;1;376.264
TWN;1;103.957
TJK;1;427.698
TZA;1;217.288
THA;1;109.861
TLS;1;335.346
TGO;1;280.033
TTO;1;228.467
TUN;1;318.991
TUR;1;171.285
UGA;1;213.333
UKR;1;539.849
ARE;1;317.84
GBR;1;122.137
USA;1;151.089
VIR;1;273.67
URY;1;160.708
UZB;1;724.417
VEN;1;204.85
VNM;1;245.465
YEM;1;495.003
ZMB;1;234.499
ZWE;1;307.846
AFG;2;9.59
ALB;2;10.08
DZA;2;6.73
AND;2;7.97
AGO;2;3.94
ATG;2;13.17
ARG;2;5.5
ARM;2;7.11
AUS;2;5.07
AUT;2;6.35
AZE;2;7.11
BHS;2;13.17
BHR;2;16.52
BGD;2;8.38
BRB;2;13.57
BLR;2;5.18
BEL;2;4.29
BLZ;2;17.11
BEN;2;0.99
BMU;2;13.0
BTN;2;9.75
BOL;2;6.89
BIH;2;10.08
BWA;2;4.81
BRA;2;8.11
BRN;2;12.79
BGR;2;5.81
BFA;2;2.42
BDI;2;6.05
KHM;2;4.0
CMR;2;7.2
CAN;2;7.37
CPV;2;2.42
CAF;2;6.1
TCD;2;6.1
CHL;2;8.46
CHN;2;9.74
COL;2;7.44
COM;2;11.88
COG;2;7.2
CRI;2;8.78
CIV;2;2.42
HRV;2;5.59
CUB;2;8.27
CYP;2;9.24
CZE;2;6.82
COD;2;6.1
DNK;2;6.41
DMA;2;11.62
DOM;2;8.2
ECU;2;5.55
EGY;2;17.31
SLV;2;8.87
GNQ;2;7.78
ERI;2;6.05
EST;2;4.02
ETH;2;7.47
FJI;2;14.49
FIN;2;5.76
FRA;2;4.77
PYF;2;22.63
GAB;2;7.2
GMB;2;1.91
GEO;2;7.11
DEU;2;8.31
GHA;2;4.97
GRC;2;4.55
GRL;2;2.16
GRD;2;10.71
GUM;2;21.52
GTM;2;10.18
GIN;2;2.42
GNB;2;2.42
GUY;2;11.62
HTI;2;6.65
HND;2;7.21
HUN;2;7.55
ISL;2;5.31
IND;2;10.39
IDN;2;6.32
IRN;2;9.59
IRQ;2;8.83
IRL;2;3.28
ISR;2;6.74
ITA;2;4.78
JAM;2;11.28
JPN;2;5.72
JOR;2;11.75
KAZ;2;7.11
KEN;2;2.92
KWT;2;15.84
KGZ;2;7.11
LAO;2;4.0
LVA;2;4.91
LBN;2;12.71
LSO;2;3.94
LBR;2;2.42
LBY;2;10.43
LIE;2;7.77
LTU;2;3.67
LUX;2;4.42
MKD;2;10.08
MDG;2;3.94
MWI;2;3.94
MYS;2;16.74
MDV;2;9.19
MLI;2;2.42
MLT;2;8.83
MRT;2;2.42
MUS;2;22.02
MEX;2;13.06
MDA;2;5.72
MCO;2;5.46
MNG;2;4.82
MNE;2;10.08
MAR;2;7.14
MOZ;2;3.3
MMR;2;4.61
NAM;2;3.94
NPL;2;7.26
NLD;2;5.29
NCL;2;23.36
NZL;2;8.08
NIC;2;11.47
NER;2;2.42
NGA;2;2.42
NOR;2;5.31
OMN;2;12.61
PAK;2;8.35
PSE;2;10.59
