IsoCode;ContinentId;Country;Population;Area
AFG;2;Afghanistan;38928341;647500
ALB;1;Albania;2877800;28748
DZA;3;Algeria;43851043;2381740
AND;1;Andorra;77265;468
AGO;3;Angola;32866268;1246700
AIA;4;Anguilla;15002;102
ATG;4;Antigua and Barbuda;97928;443
ARG;5;Argentina;45195777;2766890
ARM;2;Armenia;2963234;29800
ABW;4;Aruba;106766;193
AUS;6;Australia;25499881;7686850
AUT;1;Austria;9006400;83870
AZE;2;Azerbaijan;10139175;86600
BHS;4;Bahamas;393248;13940
BHR;2;Bahrain;1701583;665
BGD;2;Bangladesh;164689383;144000
BRB;4;Barbados;287371;431
BLR;1;Belarus;9449321;207600
BEL;1;Belgium;11589616;30528
BLZ;4;Belize;397621;22966
BEN;3;Benin;12123198;112620
BMU;4;Bermuda;62273;53
BTN;2;Bhutan;771612;47000
BOL;5;Bolivia;11673029;1098580
BES;4;Bonaire Sint Eustatius and Saba;2020;294
BIH;1;Bosnia and Herzegovina;3280815;51129
BWA;3;Botswana;2351625;600370
BRA;5;Brazil;212559409;8511965
VGB;4;British Virgin Islands;30237;153
BRN;2;Brunei;437483;5770
BGR;1;Bulgaria;6948445;110910
BFA;3;Burkina Faso;20903278;274200
BDI;3;Burundi;11890781;27830
KHM;2;Cambodia;16718971;181040
CMR;3;Cameroon;26545864;475440
CAN;4;Canada;37742157;9984670
CPV;3;Cape Verde;555988;4033
CYM;4;Cayman Islands;65720;262
CAF;3;Central African Republic;4829764;622984
TCD;3;Chad;16425859;1284000
CHL;5;Chile;19116209;756950
CHN;2;China;1439323774;9596960
COL;5;Colombia;50882884;1138910
COM;3;Comoros;869595;2170
COG;3;Congo;5518092;342000
CRI;4;Costa Rica;5094114;51100
CIV;3;Cote d'Ivoire;26378275;322460
HRV;1;Croatia;4105268;56542
CUB;4;Cuba;11326616;110860
CUW;4;Curacao;164100;444
CYP;1;Cyprus;875899;9250
CZE;1;Czech Republic;10708982;78866
COD;3;Democratic Republic of Congo;89561404;2345410
DNK;1;Denmark;5792203;43094
DJI;3;Djibouti;988002;23000
DMA;4;Dominica;71991;754
DOM;4;Dominican Republic;10847904;48730
ECU;5;Ecuador;17643060;283560
EGY;3;Egypt;102334403;1001450
SLV;4;El Salvador;6486201;21040
GNQ;3;Equatorial Guinea;1402985;28051
ERI;3;Eritrea;3546427;121320
EST;1;Estonia;1326539;45226
ETH;3;Ethiopia;114963583;1127127
FRO;1;Faeroe Islands;3483;1399
FLK;5;Falkland Islands;48865;12173
FJI;6;Fiji;896444;18270
FIN;1;Finland;5540718;338145
FRA;1;France;65273512;547030
PYF;6;French Polynesia;280904;4167
GAB;3;Gabon;2225728;267667
GMB;3;Gambia;2416664;11300
GEO;2;Georgia;3989175;69700
DEU;1;Germany;83783945;357021
GHA;3;Ghana;31072945;239460
GIB;1;Gibraltar;33691;7
GRC;1;Greece;10423056;131940
GRL;4;Greenland;56772;2166086
GRD;4;Grenada;112519;344
GUM;6;Guam;168783;541
GTM;4;Guatemala;17915567;108890
