IsoCode;TypeOfFoodID;TypeOfNutritionalFactId;SupplyQuantity
AFG;1;1;0
ALB;1;1;0.912
DZA;1;1;0.0896
AGO;1;1;1.9388
ATG;1;1;2.3041
ARG;1;1;1.4354
ARM;1;1;0.2274
AUS;1;1;1.9783
AUT;1;1;2.8161
AZE;1;1;2.2555
BHS;1;1;2.9145
BGD;1;1;0
BRB;1;1;1.1224
BLR;1;1;3.2979
BEL;1;1;2.3089
BLZ;1;1;1.5199
BEN;1;1;1.7604
BOL;1;1;0.7859
BIH;1;1;3.8856
BWA;1;1;1.5598
BRA;1;1;1.4314
BGR;1;1;3.6782
BFA;1;1;2.5188
CPV;1;1;1.2525
KHM;1;1;1.4153
CMR;1;1;1.5263
CAN;1;1;1.5748
CAF;1;1;0.5402
TCD;1;1;0.1436
CHL;1;1;1.5942
CHN;1;1;1.2768
COL;1;1;0.9856
COG;1;1;1.6241
CRI;1;1;1.211
CIV;1;1;0.4579
HRV;1;1;2.7404
CUB;1;1;0.9825
CYP;1;1;1.6826
CZE;1;1;4.8993
DNK;1;1;2.4239
DJI;1;1;0.1306
DMA;1;1;1.4266
DOM;1;1;1.589
ECU;1;1;0.9275
EGY;1;1;0.0301
SLV;1;1;0.9019
EST;1;1;4.839
SWZ;1;1;1.5593
ETH;1;1;0.4774
FJI;1;1;0.7322
FIN;1;1;2.4873
FRA;1;1;1.9955
PYF;1;1;1.4879
GAB;1;1;2.0617
GMB;1;1;0.3543
GEO;1;1;1.2367
DEU;1;1;3.2902
GHA;1;1;0.3956
GRC;1;1;1.0285
GRD;1;1;1.9979
GTM;1;1;0.5887
GIN;1;1;0.0894
GNB;1;1;0.6881
GUY;1;1;0.5719
HTI;1;1;2.0559
HND;1;1;0.7052
HUN;1;1;3.0432
ISL;1;1;2.0403
IND;1;1;0.2582
IDN;1;1;0.0346
IRN;1;1;0
IRQ;1;1;0.0997
IRL;1;1;3.2284
ISR;1;1;0.6267
ITA;1;1;1.4624
JAM;1;1;1.3423
JPN;1;1;2.4472
JOR;1;1;0.0553
KAZ;1;1;1.5175
KEN;1;1;0.6828
KIR;1;1;0.1145
PRK;1;1;1.4282
KOR;1;1;2.0481
KWT;1;1;0
KGZ;1;1;0.7328
LAO;1;1;1.1323
LVA;1;1;3.0614
LBN;1;1;0.3473
LSO;1;1;0.767
LBR;1;1;0.7505
LTU;1;1;3.3192
LUX;1;1;5.1574
MDG;1;1;0.289
MWI;1;1;0.3588
MYS;1;1;0.2063
MDV;1;1;0.3552
MLI;1;1;0.6497
MLT;1;1;1.9506
MRT;1;1;0
MUS;1;1;0.8473
MEX;1;1;1.196
MNG;1;1;1.5398
MNE;1;1;1.4078
MAR;1;1;0.0888
MOZ;1;1;0.3688
MMR;1;1;0.1296
NAM;1;1;2.4054
NPL;1;1;0.1395
NLD;1;1;2.2164
NCL;1;1;1.9087
NZL;1;1;1.6474
NIC;1;1;0.6658
NER;1;1;0.0194
NGA;1;1;1.2178
MKD;1;1;0.9837
NOR;1;1;1.7142
OMN;1;1;0.0853
PAK;1;1;0
PAN;1;1;1.8134
PRY;1;1;1.8252
PER;1;1;1.5529
PHL;1;1;1.0845
POL;1;1;2.8507
PRT;1;1;3.065
MDA;1;1;2.0672
ROU;1;1;2.1141
RUS;1;1;2.0381
RWA;1;1;0.858
KNA;1;1;1.6696
LCA;1;1;2.5564
VCT;1;1;1.8243
WSM;1;1;0.521
STP;1;1;0.7034
SAU;1;1;0
SEN;1;1;0.0766
SRB;1;1;2.5678
SLE;1;1;0.1021
SVK;1;1;2.835
SVN;1;1;2.2372
SLB;1;1;0.2697
ZAF;1;1;2.2875
ESP;1;1;2.4163
LKA;1;1;0.2105
SDN;1;1;0
SUR;1;1;1.4479
SWE;1;1;2.2981
CHE;1;1;2.3293
TWN;1;1;1.2767
TJK;1;1;0.1427
THA;1;1;2.1401
TLS;1;1;0.1169
TGO;1;1;0.2882
TTO;1;1;0.8874
TUN;1;1;0.2452
TUR;1;1;0.3107
TKM;1;1;0.2263
UGA;1;1;1.7949
UKR;1;1;1.5319
ARE;1;1;0
GBR;1;1;2.217
TZA;1;1;1.0643
USA;1;1;2.1373
URY;1;1;1.3481
UZB;1;1;0.6785
VUT;1;1;0.2668
VEN;1;1;0.8454
VNM;1;1;0.715
YEM;1;1;0
ZMB;1;1;1.1925
ZWE;1;1;1.4269
AFG;2;1;4.7774
ALB;2;1;16.093
DZA;2;1;6.0326
AGO;2;1;4.6927
ATG;2;1;15.3672
ARG;2;1;14.9869
ARM;2;1;12.833
AUS;2;1;15.6146
AUT;2;1;15.6106
AZE;2;1;8.1682
BHS;2;1;14.793
BGD;2;1;2.3695
BRB;2;1;12.0877
BLR;2;1;12.2644
BEL;2;1;14.1587
BLZ;2;1;9.1752
BEN;2;1;2.4864
BOL;2;1;10.0255
BIH;2;1;9.0561
BWA;2;1;8.1197
BRA;2;1;13.2061
BGR;2;1;12.29
BFA;2;1;2.7946
CPV;2;1;8.5288
KHM;2;1;4.0437
CMR;2;1;2.1669
CAN;2;1;12.6986
CAF;2;1;7.3927
TCD;2;1;6.9411
CHL;2;1;12.3547
CHN;2;1;16.1844
COL;2;1;8.8544
COG;2;1;4.9805
CRI;2;1;11.347
CIV;2;1;2.1612
HRV;2;1;14.6911
CUB;2;1;7.6111
CYP;2;1;12.8681
CZE;2;1;14.0415
DNK;2;1;17.7505
DJI;2;1;3.7127
DMA;2;1;10.9375
DOM;2;1;8.6782
ECU;2;1;9.7391
EGY;2;1;4.1999
SLV;2;1;7.9857
EST;2;1;15.3336
SWZ;2;1;5.5925
ETH;2;1;2.0182
FJI;2;1;8.4795
FIN;2;1;19.2239
FRA;2;1;16.9899
PYF;2;1;15.0676
GAB;2;1;7.1874
GMB;2;1;3.7394
GEO;2;1;8.8138
DEU;2;1;15.3684
GHA;2;1;2.1263
GRC;2;1;11.4771
GRD;2;1;12.2581
GTM;2;1;5.5534
GIN;2;1;2.415
GNB;2;1;3.8624
GUY;2;1;9.0121
HTI;2;1;3.7884
HND;2;1;6.7385
HUN;2;1;16.0682
ISL;2;1;22.2911
IND;2;1;5.5622
IDN;2;1;3.372
IRN;2;1;5.8494
IRQ;2;1;4.1476
IRL;2;1;14.0167
ISR;2;1;11.5653
ITA;2;1;12.5657
JAM;2;1;9.4685
JPN;2;1;10.1594
JOR;2;1;6.0796
KAZ;2;1;14.1114
KEN;2;1;5.9101
KIR;2;1;5.9555
PRK;2;1;3.1273
KOR;2;1;9.3351
KWT;2;1;9.1727
KGZ;2;1;10.992
LAO;2;1;4.7916
LVA;2;1;15.4174
LBN;2;1;5.4012
LSO;2;1;3.7037
LBR;2;1;2.7908
LTU;2;1;15.4409
LUX;2;1;17.4063
MDG;2;1;3.5208
MWI;2;1;4.0038
MYS;2;1;8.7831
MDV;2;1;12.1226
MLI;2;1;5.7446
MLT;2;1;14.2031
MRT;2;1;7.3716
MUS;2;1;7.3381
MEX;2;1;10.2729
MNG;2;1;20.3754
